number_of_fixational_trials,size,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,answer.keys,answer.rt,participant,gender,age,frameRate,expName,date,
6,"[2.7, 2.7]",0,0,0,15,,,,,0,0,0,0,down,2.01690945099,,,,60.011015228,Set,2017_03_17_1453,
6,"[2.7, 2.7]",0,0,0,15,,,,,1,0,1,0,down,0.400114553282,,,,60.011015228,Set,2017_03_17_1453,
10,"[2.67, 2.67]",0,1,1,39,,,,,0,0,0,0,down,1.05025545578,,,,60.011015228,Set,2017_03_17_1453,
10,"[2.67, 2.67]",0,1,1,39,,,,,1,0,1,0,left,0.800234633032,,,,60.011015228,Set,2017_03_17_1453,
10,"[2.67, 2.67]",0,1,1,39,,,,,2,0,2,0,down,0.533592913998,,,,60.011015228,Set,2017_03_17_1453,
10,"[2.67, 2.67]",0,1,1,39,,,,,3,0,3,0,down,0.183616578579,,,,60.011015228,Set,2017_03_17_1453,
4,"[2.7, 2.7]",0,2,2,13,,,,,0,0,0,0,down,1.10029183072,,,,60.011015228,Set,2017_03_17_1453,
4,"[2.7, 2.7]",0,2,2,13,,,,,1,0,1,0,down,0.316925201332,,,,60.011015228,Set,2017_03_17_1453,
3,"[2.6, 2.6]",0,3,3,2,,,,,0,0,0,0,right,1.40020929091,,,,60.011015228,Set,2017_03_17_1453,
3,"[2.6, 2.6]",0,3,3,2,,,,,1,0,1,0,left,0.616914898623,,,,60.011015228,Set,2017_03_17_1453,
3,"[2.6, 2.6]",0,3,3,2,,,,,2,0,2,0,down,0.25024542911,,,,60.011015228,Set,2017_03_17_1453,
